,year,county_name,commodity_desc,value,percent
199,1943.0,MCINTOSH,NOT CORN,407600.0,0.9755864049784586
200,1944.0,DICKEY,CORN,57200.0,0.1621315192743764
201,1944.0,DICKEY,NOT CORN,295600.0,0.8378684807256236
202,1944.0,LA MOURE,CORN,31600.0,0.05688568856885689
203,1944.0,LA MOURE,NOT CORN,523900.0,0.9431143114311432
204,1944.0,LOGAN,CORN,5000.0,0.012251899044351876
205,1944.0,LOGAN,NOT CORN,403100.0,0.987748100955648
206,1944.0,MCINTOSH,CORN,9700.0,0.02166629439356712
207,1944.0,MCINTOSH,NOT CORN,438000.0,0.9783337056064328
208,1945.0,DICKEY,CORN,53000.0,0.1403973509933775
209,1945.0,DICKEY,NOT CORN,324500.0,0.8596026490066225
210,1945.0,LA MOURE,CORN,35000.0,0.06182653241476771
211,1945.0,LA MOURE,NOT CORN,531100.0,0.9381734675852323
212,1945.0,LOGAN,CORN,4500.0,0.011258443832874656
213,1945.0,LOGAN,NOT CORN,395200.0,0.9887415561671252
214,1945.0,MCINTOSH,CORN,8500.0,0.01808510638297872
215,1945.0,MCINTOSH,NOT CORN,461500.0,0.9819148936170212
216,1946.0,DICKEY,CORN,45000.0,0.11568123393316194
217,1946.0,DICKEY,NOT CORN,344000.0,0.884318766066838
218,1946.0,LA MOURE,CORN,34000.0,0.05923344947735192
219,1946.0,LA MOURE,NOT CORN,540000.0,0.940766550522648
220,1946.0,LOGAN,CORN,3800.0,0.009429280397022332
221,1946.0,LOGAN,NOT CORN,399200.0,0.9905707196029776
222,1946.0,MCINTOSH,CORN,6500.0,0.014170481796381078
223,1946.0,MCINTOSH,NOT CORN,452200.0,0.985829518203619
224,1947.0,DICKEY,CORN,43500.0,0.10271546635183
225,1947.0,DICKEY,NOT CORN,380000.0,0.8972845336481701
226,1947.0,LA MOURE,CORN,35000.0,0.059931506849315065
227,1947.0,LA MOURE,NOT CORN,549000.0,0.9400684931506851
228,1947.0,LOGAN,CORN,4300.0,0.01024297284421153
229,1947.0,LOGAN,NOT CORN,415500.0,0.9897570271557884
230,1947.0,MCINTOSH,CORN,6700.0,0.014123102866779091
231,1947.0,MCINTOSH,NOT CORN,467700.0,0.9858768971332208
232,1948.0,DICKEY,CORN,39000.0,0.0665075034106412
233,1948.0,DICKEY,NOT CORN,547400.0,0.9334924965893588
234,1948.0,LA MOURE,CORN,31500.0,0.04429133858267716
235,1948.0,LA MOURE,NOT CORN,679700.0,0.9557086614173228
236,1948.0,LOGAN,CORN,5000.0,0.008695652173913044
237,1948.0,LOGAN,NOT CORN,570000.0,0.991304347826087
238,1948.0,MCINTOSH,CORN,6000.0,0.010230179028132991
239,1948.0,MCINTOSH,NOT CORN,580500.0,0.9897698209718669
240,1949.0,DICKEY,CORN,46700.0,0.04718601596443367
241,1949.0,DICKEY,NOT CORN,943000.0,0.9528139840355664
242,1949.0,LA MOURE,CORN,38100.0,0.0260941031436203
243,1949.0,LA MOURE,NOT CORN,1422000.0,0.9739058968563796
244,1949.0,LOGAN,CORN,8500.0,0.0065968180054326725
245,1949.0,LOGAN,NOT CORN,1280000.0,0.9934031819945672
246,1949.0,MCINTOSH,CORN,10000.0,0.0075137125253587796
