year,county_name,commodity_desc,value
1979.0,MCINTOSH,CORN,7500.0
1979.0,MCINTOSH,NOT CORN,1120400.0
1980.0,DICKEY,CORN,44000.0
1980.0,DICKEY,NOT CORN,1387400.0
1980.0,LA MOURE,CORN,23100.0
1980.0,LA MOURE,NOT CORN,1746700.0
1980.0,LOGAN,CORN,9800.0
1980.0,LOGAN,NOT CORN,824500.0
1980.0,MCINTOSH,CORN,11600.0
1980.0,MCINTOSH,NOT CORN,877100.0
1981.0,DICKEY,CORN,50500.0
1981.0,DICKEY,NOT CORN,1422300.0
1981.0,LA MOURE,CORN,29900.0
1981.0,LA MOURE,NOT CORN,1904700.0
1981.0,LOGAN,CORN,14800.0
1981.0,LOGAN,NOT CORN,1132600.0
1981.0,MCINTOSH,CORN,13700.0
1981.0,MCINTOSH,NOT CORN,1334900.0
1982.0,DICKEY,CORN,100200.0
1982.0,DICKEY,NOT CORN,1207500.0
1982.0,LA MOURE,CORN,63800.0
1982.0,LA MOURE,NOT CORN,1694500.0
1982.0,LOGAN,CORN,25500.0
1982.0,LOGAN,NOT CORN,1033800.0
1982.0,MCINTOSH,CORN,19400.0
1982.0,MCINTOSH,NOT CORN,1206500.0
1983.0,DICKEY,CORN,77300.0
1983.0,DICKEY,NOT CORN,1040100.0
1983.0,LA MOURE,CORN,55400.0
1983.0,LA MOURE,NOT CORN,1348000.0
1983.0,LOGAN,CORN,20800.0
1983.0,LOGAN,NOT CORN,826000.0
1983.0,MCINTOSH,CORN,18000.0
1983.0,MCINTOSH,NOT CORN,939500.0
1984.0,DICKEY,CORN,113300.0
1984.0,DICKEY,NOT CORN,1159700.0
1984.0,LA MOURE,CORN,78000.0
1984.0,LA MOURE,NOT CORN,1559600.0
1984.0,LOGAN,CORN,24100.0
1984.0,LOGAN,NOT CORN,910500.0
1984.0,MCINTOSH,CORN,20900.0
1984.0,MCINTOSH,NOT CORN,1068100.0
1985.0,DICKEY,CORN,112100.0
1985.0,DICKEY,NOT CORN,1354700.0
1985.0,LA MOURE,CORN,69400.0
1985.0,LA MOURE,NOT CORN,1539300.0
1985.0,LOGAN,CORN,21500.0
1985.0,LOGAN,NOT CORN,996100.0
1985.0,MCINTOSH,CORN,22000.0
1985.0,MCINTOSH,NOT CORN,1127300.0
1986.0,DICKEY,CORN,100800.0
1986.0,DICKEY,NOT CORN,1388600.0
1986.0,LA MOURE,CORN,66400.0
1986.0,LA MOURE,NOT CORN,1528800.0
1986.0,LOGAN,CORN,21200.0
1986.0,LOGAN,NOT CORN,907600.0
1986.0,MCINTOSH,CORN,21400.0
1986.0,MCINTOSH,NOT CORN,1090000.0
1987.0,DICKEY,CORN,93400.0
1987.0,DICKEY,NOT CORN,1178600.0
1987.0,LA MOURE,CORN,59600.0
1987.0,LA MOURE,NOT CORN,1556300.0
1987.0,LOGAN,CORN,20400.0
1987.0,LOGAN,NOT CORN,941000.0
1987.0,MCINTOSH,CORN,19400.0
1987.0,MCINTOSH,NOT CORN,1077400.0
1988.0,DICKEY,CORN,84200.0
1988.0,DICKEY,NOT CORN,849300.0
1988.0,LA MOURE,CORN,49400.0
1988.0,LA MOURE,NOT CORN,1164500.0
1988.0,LOGAN,CORN,13600.0
1988.0,LOGAN,NOT CORN,408400.0
1988.0,MCINTOSH,CORN,8200.0
1988.0,MCINTOSH,NOT CORN,330200.0
1989.0,DICKEY,CORN,114600.0
1989.0,DICKEY,NOT CORN,1332700.0
1989.0,LA MOURE,CORN,58800.0
1989.0,LA MOURE,NOT CORN,1848600.0
1989.0,LOGAN,CORN,19200.0
1989.0,LOGAN,NOT CORN,868200.0
